_Area,_Location,_Class,_Name,_19Jan,_19Feb,_19Mar,_19Apr,_19May,_19Jun,_19Jul,_19Aug,_19Sep,_19Oct,_19Nov,_19Dec,_20Jan,_20Feb,_20Mar,_20Apr,_20May,_20Jun,_20Jul,_20Aug,_20Sep,_20Oct,_20Nov,_20Dec,_21Jan,_21Feb,_21Mar,_21Apr,_21May,_21Jun,_21Jul,_21Aug,_21Sep,_21Oct,_21Nov,_21Dec,_22Jan,_22Feb,_22Mar,_22Apr,_22May,_22Jun,_22Jul,_22Aug,_22Sep,_22Oct,_22Nov,_22Dec,_23Jan,_23Feb,_23Mar,_23Apr,_23May,_23Jun,_23Jul,_23Aug,_23Sep,_23Oct,_23Nov,_23Dec,_19Total,_20Total,_21Total,_22Total,_23Total,_Total,_20Rate,_21Rate,_22Rate,_23Rate,_before,_after,_rate
Central,Miaoli County,Others,香格里拉樂園,1270,4122,4115,8553,4119,1493,878,1430,6364,6869,6031,6299,1373,218,10,7,28,2989,1514,2740,7758,6436,8352,6832,1481,200,4206,6926,768,0,0,3,185,4835,9019,8672,2085,344,4303,2366,815,16,5,1359,6441,8793,7608,7700,0,0,0,0,30,0,0,0,0,100,80,0,51543,38257,36295,41835,210,168140,-25.78,-5.13,15.26,-99.5,102613,64756,-0.3689298626879635
Northern,Hsinchu County,Forest Recreation Areas,萬瑞森林樂園,1491,2603,1017,2710,1010,989,2223,1566,3218,5163,4699,5700,1508,762,513,441,277,1326,2291,2917,8736,7738,4541,3718,1105,2620,2208,6423,706,0,114,316,598,2048,3811,5872,837,1910,2283,1848,44,416,1410,3294,4103,3861,3268,2289,3413,3548,4471,4851,2051,2361,5059,2871,6381,4990,5530,5346,32389,34768,25821,25563,50872,169413,7.35,-25.73,-1.0,99.01,79513,88764,0.11634575478223687
Northern,Hsinchu County,Leisure Agriculture Areas and Leisure Farm,南園人文客棧,1651,1585,1420,2372,2152,1642,1131,1423,1721,2178,2015,2019,2056,1232,1092,931,1919,1728,1941,2014,2079,2207,1235,1470,1133,1198,1420,1484,669,0,0,334,326,683,877,1202,679,549,617,693,180,225,452,335,343,592,491,498,689,259,312,712,600,552,302,552,517,848,849,658,21309,19904,9326,5654,6850,63043,-6.59,-53.15,-39.37,21.15,46448,15592,-0.6643127798828797
Northern,New Taipei City,Temples,清水祖師廟,1695,3982,1126,1855,1363,1081,1146,629,1150,1547,1420,1142,1070,269,165,75,15,375,960,767,1405,1997,393,1160,660,768,195,288,45,0,0,135,280,598,609,908,730,820,565,642,240,997,565,291,415,1000,1007,1570,1083,1251,717,938,993,607,1706,379,670,981,981,10938,18136,8651,4486,8842,21244,61359,-52.3,-48.14,97.1,140.26,28698,32481,0.13182103282458707
Eastern,Hualien County,Forest Recreation Areas,池南國家森林遊樂區,1705,2777,1997,3619,3227,1306,3068,2300,1578,2291,3705,2344,2370,1638,1242,1453,2073,2063,4039,4427,3043,5378,4527,3266,2117,2902,2166,4795,1955,4,582,1981,1484,2114,3995,3198,3230,3848,4102,3425,2393,1683,3791,3758,3794,2620,3768,2686,3990,2354,2189,4862,2772,3182,4080,3190,3170,3610,4145,3536,29917,35519,27293,39098,41080,172907,18.73,-23.16,43.25,5.07,77416,90969,0.17506716957734836
Eastern,Taitung County,Others,蘭嶼,1710,3482,4561,20114,21950,11920,24264,12515,15262,8136,1616,1557,2750,2558,3702,7646,10940,21932,18607,32185,30359,13930,1786,1102,1192,3937,6861,23255,16619,676,1432,4326,10377,6566,2393,1549,2850,2630,9060,20487,11053,20050,29999,29319,23765,6466,2577,1255,3120,2053,5108,26986,20973,29249,24282,18798,17132,3528,3161,1993,127087,147497,79183,159511,156383,669661,16.06,-46.32,101.45,-1.96,309829,336779,0.08698346507266912
Southern,Chiayi County,National Parks,排雲山莊,1987,3,3977,5544,5068,5870,5692,4385,6243,6903,6832,5620,2256,1090,3061,4707,4306,6707,6999,6828,6596,7631,7598,6497,3164,3574,5019,7271,3650,34,14,1420,2706,4269,4842,5533,3153,2940,4084,5989,3690,5133,6557,6387,4336,5561,5962,5479,3112,3051,4316,5664,5172,4881,4930,3368,4299,5042,6354,5724,58124,64276,41496,59271,55913,279080,10.58,-35.44,42.84,-5.67,141428,132534,-0.06288712277625365
Eastern,Hualien County,Forest Recreation Areas,合歡山國家森林遊樂區,2390,2387,2302,2921,2890,2654,3306,2320,3037,3489,3030,2805,2375,2260,2396,2313,2141,3070,3560,3448,3250,3367,3070,2668,2193,2380,2462,3066,1827,0,482,1107,1687,2057,2370,2388,1970,2063,2232,2864,1749,2228,3218,3125,2128,2399,2216,2180,2036,2084,2515,2804,2767,2295,1966,735,1266,1418,1420,2138,33531,33918,22019,28372,23444,141284,1.15,-35.08,28.85,-17.37,77550,60318,-0.22220502901353964
Southern,Pingtung County,National Scenic Areas,禮納里部落,2427,3823,5216,3741,2484,2640,2035,1382,1814,2237,1938,2232,2911,5658,4839,3683,3039,4635,3503,4054,3878,5827,2898,4519,5861,5627,6257,6011,1772,0,155,827,2298,5288,3908,5408,3924,5642,3442,2996,1376,2227,2947,4321,3501,14223,7291,3513,4969,3865,7113,7412,7624,8589,7883,8055,6422,11316,17357,10378,31969,49444,43412,55403,100983,281211,54.66,-12.2,27.62,82.27,105169,173288,0.6477098764845154
Central,Miaoli County,Others,客家大院,2500,5200,4000,13700,8500,2700,1500,2500,3500,3850,4235,4530,4757,3806,1522,1066,3000,3500,3600,5214,3000,2600,2000,3000,3500,3500,3500,3005,2103,0,369,878,1572,3210,4564,4269,3251,4735,3135,2611,1678,2523,2545,2601,2634,2701,2733,2741,2751,2763,2753,2733,2765,2779,2785,2797,2785,2793,2785,2798,56715,37065,30470,33888,33287,191425,-34.65,-17.79,11.22,-1.77,107285,80790,-0.2469590343477653
