_Name,2019年遊客量,2020年遊客量,2020變化率,2021年遊客量,2021變化率,2022年遊客量,2022變化率,2023年遊客量,2023變化率
合歡山國家森林遊樂區,33531,33918,1.15,22019,-35.08,28372,28.85,23444,-17.37
安平小鎮,1419887,1018145,-28.29,803993,-21.03,759332,-5.55,4441443,484.91
朱銘美術館,109157,83809,-23.22,40361,-51.84,56079,38.94,60405,7.71
池上大坡池地區,0,555418,0,353998,-36.26,783271,121.26,1739414,122.07
池南國家森林遊樂區,29917,35519,18.73,27293,-23.16,39098,43.25,41080,5.07
竹圍漁港,1982041,2009720,1.4,2051548,2.08,2238420,9.11,2680656,19.76
行政院農業委員會特有生物研究保育中心,54425,58959,8.33,50184,-14.88,56627,12.84,67312,18.87
西湖渡假村,92872,75444,-18.77,104843,38.97,90607,-13.58,135757,49.83
佛光山,9001957,4285583,-52.39,1930135,-54.96,1496335,-22.48,2433973,62.66
冷水坑,617500,542717,-12.11,361741,-33.35,400101,10.6,783044,95.71
杉林溪森林生態渡假園區,647884,714241,10.24,563398,-21.12,739614,31.28,831200,12.38
汶水遊客中心,704114,520859,-26.03,329426,-36.75,310189,-5.84,433809,39.85
秀姑巒溪遊客中心,199435,220129,10.38,115473,-47.54,159338,37.99,148386,-6.87
角板山遊憩區,320439,938971,193.03,1013935,7.98,1314928,29.69,1405918,6.92
谷關遊憩區,1872795,1938280,3.5,1700781,-12.25,2000259,17.61,1941460,-2.94
赤嵌樓,665323,391575,-41.15,285170,-27.17,346779,21.6,443622,27.93
走馬瀨農場,302378,204977,-32.21,130705,-36.23,153116,17.15,208479,36.16
車埕,1272879,1117101,-12.24,823015,-26.33,724929,-11.92,795477,9.73
佳樂水,152087,116408,-23.46,108758,-6.57,29317,-73.04,62325,112.59
初鹿牧場,295311,391654,32.62,302102,-22.87,354221,17.25,432199,22.01
卑南遺址公園,230516,361984,57.03,318191,-12.1,321888,1.16,311385,-3.26
和平島公園,606484,581438,-4.13,377727,-35.04,452335,19.75,508707,12.46
奇美博物館,928599,766205,-17.49,549449,-28.29,590684,7.5,663837,12.38
宜蘭濱海遊憩區,230022,230669,0.28,126129,-45.32,230174,82.49,234664,1.95
明池森林遊樂區,163074,158801,-2.62,125068,-21.24,107023,-14.43,79641,-25.59
東埔溫泉,190492,220974,16,170307,-22.93,198196,16.38,239097,20.64
東眼山國家森林遊樂區,188273,303102,60.99,207680,-31.48,217641,4.8,204786,-5.91
東勢林場遊樂區,166133,154087,-7.25,131227,-14.84,216881,65.27,205880,-5.07
東豐自行車綠廊及后豐鐵馬道,9933514,8742870,-11.99,7314233,-16.34,3879273,-46.96,5826123,50.19
